	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468	0.66677468
Greece	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710	1.97772710
Spain	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087	-0.62561087
Sweden	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948	-0.10012948
Kenya	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226
France	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226
California	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191	0.42535191
North_Carolina	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226	-1.15109226
Georgia	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774	0.06903774
United_Kingdom	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573	1.04012573
