	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
Greece	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
Spain	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
Sweden	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
Kenya	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
France	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
California	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
North_Carolina	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
Georgia	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
United_Kingdom	0.96645149	1.29722632	-0.61573415	0.06567612	-1.29714441	-1.29714441	0.74708639	-1.29714441	0.28504123	1.14568584
