	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149	0.96645149
Greece	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632	1.29722632
Spain	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415	-0.61573415
Sweden	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612	0.06567612
Kenya	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441
France	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441
California	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639	0.74708639
North_Carolina	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441	-1.29714441
Georgia	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123	0.28504123
United_Kingdom	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584	1.14568584
