	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
Greece	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
Spain	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
Sweden	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
Kenya	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
France	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
California	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
North_Carolina	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
Georgia	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
United_Kingdom	0.25782879	0.30955606	-0.04009485	1.15201225	-2.71061778	0.08796110	0.53956218	0.73289058	0.20380179	-0.53290013
