	Germany	Greece	Spain	Sweden	Kenya	France	California	North_Carolina	Georgia	United_Kingdom
Germany	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879	0.25782879
Greece	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606	0.30955606
Spain	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485	-0.04009485
Sweden	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225	1.15201225
Kenya	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778	-2.71061778
France	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110	0.08796110
California	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218	0.53956218
North_Carolina	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058	0.73289058
Georgia	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179	0.20380179
United_Kingdom	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013	-0.53290013
