	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Belgium	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
France	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Germany	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Hungary	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Israel	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Italy	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Netherlands	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Portugal	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Senegal	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Spain	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
Uganda	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
United_Kingdom	-1.47451203	-0.56240007	-0.48245882	-0.92251151	-0.34657400	1.25129933	-0.04639805	-0.68662566	0.38601626	2.08754131	0.35148856	1.34880030	-0.90366564
