	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203	-1.47451203
Belgium	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007	-0.56240007
France	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882	-0.48245882
Germany	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151	-0.92251151
Hungary	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400	-0.34657400
Israel	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933	1.25129933
Italy	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805	-0.04639805
Netherlands	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566	-0.68662566
Portugal	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626	0.38601626
Senegal	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131	2.08754131
Spain	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856	0.35148856
Uganda	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030	1.34880030
United_Kingdom	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564	-0.90366564
