	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Belgium	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
France	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Germany	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Hungary	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Israel	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Italy	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Netherlands	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Portugal	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Senegal	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Spain	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
Uganda	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
United_Kingdom	-0.47599178	-1.42960900	1.45685625	0.89919067	-0.37798201	-1.79982746	0.73916818	-1.24257494	-0.38603061	0.33243781	1.22841309	0.52511715	0.53083266
