	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178	-0.47599178
Belgium	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900	-1.42960900
France	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625	1.45685625
Germany	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067	0.89919067
Hungary	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201	-0.37798201
Israel	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746	-1.79982746
Italy	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818	0.73916818
Netherlands	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494	-1.24257494
Portugal	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061	-0.38603061
Senegal	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781	0.33243781
Spain	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309	1.22841309
Uganda	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715	0.52511715
United_Kingdom	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266	0.53083266
