	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Belgium	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
France	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Germany	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Hungary	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Israel	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Italy	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Netherlands	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Portugal	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Senegal	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Spain	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
Uganda	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
United_Kingdom	-1.27398318	-0.59032478	1.07588795	0.73617285	-0.65651576	-2.03212073	1.34508493	0.27410220	-0.02812210	-0.85185601	1.23000239	-0.03069160	0.80236383
