	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318	-1.27398318
Belgium	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478	-0.59032478
France	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795	1.07588795
Germany	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285	0.73617285
Hungary	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576	-0.65651576
Israel	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073	-2.03212073
Italy	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493	1.34508493
Netherlands	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220	0.27410220
Portugal	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210	-0.02812210
Senegal	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601	-0.85185601
Spain	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239	1.23000239
Uganda	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160	-0.03069160
United_Kingdom	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383	0.80236383
