	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	0.00000000	0.11457573	0.13305151	0.07326207	0.05975697	0.37087198	0.09449829	0.16966717	0.41998467	0.67183663	0.25400742	0.80273603	0.21521066
Belgium	0.11457573	0.00000000	0.07237273	0.06096824	0.17057252	0.48463786	0.16867688	0.06886596	0.34200073	0.64868524	0.20930415	0.89781911	0.10420608
France	0.13305151	0.07237273	0.00000000	0.11706805	0.19241502	0.47918676	0.14057827	0.05527531	0.28897513	0.57746943	0.13914269	0.85809118	0.14815835
Germany	0.07326207	0.06096824	0.11706805	0.00000000	0.11893147	0.44015172	0.15553357	0.12919791	0.40022347	0.69099671	0.25548677	0.87546383	0.14751191
Hungary	0.05975697	0.17057252	0.19241502	0.11893147	0.00000000	0.32221411	0.11843065	0.22899182	0.47761116	0.71204863	0.30735080	0.77473273	0.26632067
Israel	0.37087198	0.48463786	0.47918676	0.44015172	0.32221411	0.00000000	0.34124854	0.52940653	0.71567074	0.79597346	0.53529650	0.49806874	0.58597985
Italy	0.09449829	0.16867688	0.14057827	0.15553357	0.11843065	0.34124854	0.00000000	0.19422154	0.39034382	0.59438581	0.21009651	0.72914227	0.27151839
Netherlands	0.16966717	0.06886596	0.05527531	0.12919791	0.22899182	0.52940653	0.19422154	0.00000000	0.27382321	0.59433814	0.15736016	0.91311435	0.09974553
Portugal	0.41998467	0.34200073	0.28897513	0.40022347	0.47761116	0.71567074	0.39034382	0.27382321	0.00000000	0.38131379	0.18176836	0.96387708	0.32852054
Senegal	0.67183663	0.64868524	0.57746943	0.69099671	0.71204863	0.79597346	0.59438581	0.59433814	0.38131379	0.00000000	0.43952486	0.79424570	0.67876899
Spain	0.25400742	0.20930415	0.13914269	0.25548677	0.30735080	0.53529650	0.21009651	0.15736016	0.18176836	0.43952486	0.00000000	0.83115669	0.25116933
Uganda	0.80273603	0.89781911	0.85809118	0.87546383	0.77473273	0.49806874	0.72914227	0.91311435	0.96387708	0.79424570	0.83115669	0.00000000	1.00000000
United_Kingdom	0.21521066	0.10420608	0.14815835	0.14751191	0.26632067	0.58597985	0.27151839	0.09974553	0.32852054	0.67876899	0.25116933	1.00000000	0.00000000
