	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Belgium	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
France	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Germany	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Hungary	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Israel	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Italy	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Netherlands	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Portugal	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Senegal	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Spain	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
Uganda	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
United_Kingdom	1.27831046	0.07330551	0.49186461	0.17373946	0.37172621	-1.72519112	1.01047671	-1.40163217	0.38138578	0.79839693	0.54015018	-0.01428263	-1.97824994
