	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046	1.27831046
Belgium	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551	0.07330551
France	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461	0.49186461
Germany	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946	0.17373946
Hungary	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621	0.37172621
Israel	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112	-1.72519112
Italy	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671	1.01047671
Netherlands	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217	-1.40163217
Portugal	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578	0.38138578
Senegal	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693	0.79839693
Spain	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018	0.54015018
Uganda	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263	-0.01428263
United_Kingdom	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994	-1.97824994
