	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Belgium	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
France	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Germany	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Hungary	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Israel	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Italy	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Netherlands	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Portugal	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Senegal	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Spain	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
Uganda	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
United_Kingdom	-1.21707476	-0.88553641	1.11008494	1.34761940	-1.10868224	-1.16342417	0.97864398	-0.41650298	-1.06871533	-0.36617818	0.68746316	0.96882824	1.13347435
