	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476	-1.21707476
Belgium	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641	-0.88553641
France	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494	1.11008494
Germany	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940	1.34761940
Hungary	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224	-1.10868224
Israel	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417	-1.16342417
Italy	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398	0.97864398
Netherlands	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298	-0.41650298
Portugal	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533	-1.06871533
Senegal	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818	-0.36617818
Spain	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316	0.68746316
Uganda	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824	0.96882824
United_Kingdom	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435	1.13347435
