	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Belgium	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
France	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Germany	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Hungary	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Israel	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Italy	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Netherlands	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Portugal	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Senegal	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Spain	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
Uganda	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
United_Kingdom	0.02004792	-0.77502359	-0.48878316	-1.08383146	0.36810324	-1.88033926	0.82718120	0.28895318	0.42248798	-0.00466295	-0.23359148	2.51249450	0.02696389
