	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792	0.02004792
Belgium	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359	-0.77502359
France	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316	-0.48878316
Germany	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146	-1.08383146
Hungary	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324	0.36810324
Israel	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926	-1.88033926
Italy	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120	0.82718120
Netherlands	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318	0.28895318
Portugal	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798	0.42248798
Senegal	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295	-0.00466295
Spain	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148	-0.23359148
Uganda	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450	2.51249450
United_Kingdom	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389	0.02696389
