	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Belgium	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
France	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Germany	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Hungary	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Israel	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Italy	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Netherlands	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Portugal	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Senegal	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Spain	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
Uganda	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
United_Kingdom	-0.04116103	-0.92138250	-1.56931920	-2.13241920	0.69500940	0.36842578	0.57572198	0.28965420	1.01213087	1.09382254	0.15981806	1.16987566	-0.70017655
