	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103	-0.04116103
Belgium	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250	-0.92138250
France	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920	-1.56931920
Germany	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920	-2.13241920
Hungary	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940	0.69500940
Israel	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578	0.36842578
Italy	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198	0.57572198
Netherlands	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420	0.28965420
Portugal	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087	1.01213087
Senegal	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254	1.09382254
Spain	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806	0.15981806
Uganda	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566	1.16987566
United_Kingdom	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655	-0.70017655
