	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Belgium	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
France	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Germany	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Hungary	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Israel	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Italy	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Netherlands	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Portugal	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Senegal	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Spain	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
Uganda	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
United_Kingdom	0.96664526	0.29667072	0.38600926	0.62825106	1.53133831	-0.11859132	0.77202522	0.10205068	-0.24104441	-1.81989381	0.20222441	-2.18860741	-0.51707799
