	Austria	Belgium	France	Germany	Hungary	Israel	Italy	Netherlands	Portugal	Senegal	Spain	Uganda	United_Kingdom
Austria	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526	0.96664526
Belgium	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072	0.29667072
France	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926	0.38600926
Germany	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106	0.62825106
Hungary	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831	1.53133831
Israel	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132	-0.11859132
Italy	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522	0.77202522
Netherlands	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068	0.10205068
Portugal	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441	-0.24104441
Senegal	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381	-1.81989381
Spain	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441	0.20222441
Uganda	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741	-2.18860741
United_Kingdom	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799	-0.51707799
