	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Arizona	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Belgium	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Brazil	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
British_Virgin_Islands	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
California	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Colombia	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Colorado	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Connecticut	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
District_of_Columbia	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Florida	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
Georgia	1.03632499	0.25870362	-0.23635966	1.45739983	1.27987070	0.70448471	1.06525746	-2.58729249	-0.33676856	0.35740708	1.05903945	0.73248478	-3.03916891	-0.24102124	-0.25037925	0.94427158	0.94344379	-0.34004577	0.88883946	0.66648975	-0.34497232	-0.56635517	-0.08152160	-0.06303461	-1.28839097	-0.36148814	-0.54794486	0.35853797	0.73895849	-0.65151096	0.24674283	-0.93969058	-0.86231144
