	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Arizona	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Belgium	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Brazil	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
British_Virgin_Islands	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
California	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Colombia	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Colorado	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Connecticut	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
District_of_Columbia	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Florida	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Georgia	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
Idaho	0.23866916	-0.17705983	-0.12465033	0.86958405	0.57106140	0.43565656	0.91532977	0.27632383	0.79813403	-4.24954510	0.35590772	0.60138586	0.52038276	-0.00013902	0.26845196	-1.03946201	0.41538620	0.68974742	0.45772466	0.71978942	-1.39575921	-0.58105367	-0.12235066	0.79192130	-1.79484974	0.40192665	-1.11238024	0.11281186	-0.19765275	-0.04722165	0.79924291	0.69116288	-0.08847619
