	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Arizona	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Belgium	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Brazil	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
British_Virgin_Islands	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
California	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Colombia	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Colorado	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Connecticut	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
District_of_Columbia	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Florida	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Georgia	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Idaho	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Illinois	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Indiana	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Israel	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Louisiana	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Massachusetts	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Mexico	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Mississippi	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Nebraska	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
Nevada	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
New_Mexico	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
New_York	-0.10493159	-0.43712681	-0.37673737	0.95398184	0.75027468	-0.71796767	3.34839919	0.13201249	-0.14908106	0.30424417	0.67557107	-0.59816641	-0.18049790	-0.34318615	0.71218090	-1.51061409	0.97651857	-0.77247191	1.77463867	0.69679009	-0.50652001	-1.49659158	-1.14039429	0.89179547	-0.58094119	0.73637728	-0.40643179	0.17868520	-0.59155927	-1.40242725	0.32369558	0.33711971	-1.47663855
