	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Arizona	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Belgium	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Brazil	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
British_Virgin_Islands	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
California	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Colombia	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Colorado	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
Connecticut	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
District_of_Columbia	0.50083145	0.92524323	-1.01780868	1.14516519	0.98392160	0.73080412	1.24224057	0.89484761	-0.37347494	1.01226791	1.17014338	-1.33480602	-0.65493874	0.27085879	0.62105166	0.41380678	0.69527057	-2.91498799	1.21866311	-0.46049962	0.05093684	-1.52924513	-0.55397627	-0.21559947	0.21936766	-0.14350228	0.45806948	0.16568477	-0.01060500	-1.16637519	-2.04068159	0.58223760	-0.88491140
