	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Arizona	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Belgium	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Brazil	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
British_Virgin_Islands	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
California	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Colombia	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Colorado	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Connecticut	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
District_of_Columbia	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Florida	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Georgia	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Idaho	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Illinois	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Indiana	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Israel	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Louisiana	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Massachusetts	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Mexico	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Mississippi	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
Nebraska	-1.07133450	1.58192269	-1.07133450	0.10170794	-1.07133450	0.84181531	0.10170794	1.48901636	1.48901636	-0.33122713	0.10170794	0.64714161	-0.33122713	1.27475038	-1.07133450	-1.07133450	0.10170794	-1.07133450	0.64714161	-1.07133450	-0.33122713	-0.33122713	0.40888025	2.07258799	0.10170794	0.10170794	0.10170794	-1.07133450	2.27658707	-1.07133450	-0.33122713	-1.07133450	-1.07133450
