	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Arizona	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Belgium	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Brazil	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
British_Virgin_Islands	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
California	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Colombia	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Colorado	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
Connecticut	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
District_of_Columbia	-0.80056776	0.03853223	-0.39208890	-2.01348948	-2.42196834	0.12253360	-3.12026757	0.33924386	0.69204929	0.30621032	-0.90671140	-0.20841218	0.59603068	0.82083282	0.73683145	-0.70454916	-0.26599544	0.71468918	-1.31519026	-0.00624993	0.84078264	0.75849751	0.27205678	0.62090683	0.89836590	0.66888889	0.87953483	-0.46159458	0.16204583	0.77970740	0.51748967	0.93500386	0.91685143
