	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499	1.03632499
Arizona	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362	0.25870362
Belgium	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966	-0.23635966
Brazil	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983	1.45739983
British_Virgin_Islands	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070	1.27987070
California	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471	0.70448471
Colombia	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746	1.06525746
Colorado	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249	-2.58729249
Connecticut	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856	-0.33676856
District_of_Columbia	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708	0.35740708
