	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012	1.55801012
Arizona	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853	0.30322853
Belgium	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919	-0.96347919
Brazil	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070	2.18430070
British_Virgin_Islands	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163	-3.93699163
California	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768	0.50571768
Colombia	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324	1.06001324
Colorado	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911	0.25289911
Connecticut	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378	-1.38851378
District_of_Columbia	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590	0.04117590
