	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667	1.49364667
Arizona	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414	-0.36530414
Belgium	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985	0.53566985
Brazil	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995	1.76272995
British_Virgin_Islands	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423	-3.47198423
California	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890	0.29187890
Colombia	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926	1.51948926
Colorado	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943	-0.18784943
Connecticut	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382	-0.58692382
District_of_Columbia	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232	0.00238232
