	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	0.00000000	0.72548013	0.92564936	0.26468045	0.48510690	0.78302177	0.38594375	0.73596306	0.68625212	0.66732107	0.58298062	0.62430270	0.80750373	0.69760806	0.69021920	1.00000000	0.62451704	0.68901321	0.61968118	0.63881333	0.73651377	0.78111836	0.70434863	0.69988549	0.78382169	0.68799730	0.76005369	0.82143278	0.65082774	0.76089324	0.65721190	0.73567424	0.77218336
Arizona	0.72548013	0.00000000	0.67712246	0.65963492	0.38611417	0.07078250	0.38071560	0.05874011	0.27070162	0.24257689	0.21295370	0.20394659	0.08936952	0.16236067	0.18112557	0.92588038	0.14984268	0.28445490	0.11030789	0.15915707	0.10208309	0.05565488	0.03975518	0.25299107	0.13482799	0.20520646	0.11600939	0.69642821	0.09918890	0.04338255	0.23358557	0.17121166	0.08004349
Belgium	0.92564936	0.67712246	0.00000000	0.66123568	0.54062953	0.69844171	0.68039657	0.61913285	0.44914922	0.48569631	0.59029414	0.55538394	0.61788399	0.53873818	0.52587489	0.25441959	0.61251020	0.43577172	0.74188778	0.58656872	0.57796159	0.66093242	0.65250323	0.45647557	0.54315148	0.50546075	0.56120201	0.10987808	0.64261911	0.64200298	0.50078158	0.51385036	0.60048826
Brazil	0.26468045	0.65963492	0.66123568	0.00000000	0.29819710	0.73009236	0.28351136	0.64010142	0.50071916	0.49656393	0.45640451	0.48391946	0.71360566	0.55766459	0.54293919	0.77219558	0.51650623	0.49767929	0.58541605	0.51781035	0.61960298	0.70855676	0.62445078	0.51991518	0.65239669	0.53016077	0.63616844	0.55869923	0.56218017	0.67791503	0.49253301	0.58703438	0.66843288
British_Virgin_Islands	0.48510690	0.38611417	0.54062953	0.29819710	0.00000000	0.45582107	0.13979113	0.35369901	0.20753958	0.19894300	0.17316678	0.19049056	0.42337331	0.26117859	0.24551595	0.76134962	0.23627178	0.20742545	0.34640613	0.23020636	0.32675764	0.42687600	0.34718815	0.22494632	0.35531596	0.23197889	0.34084235	0.48124978	0.28758048	0.39412400	0.19435604	0.28897706	0.37734309
California	0.78302177	0.07078250	0.69844171	0.73009236	0.45582107	0.00000000	0.45001594	0.10982681	0.32509684	0.30103012	0.28285193	0.27055102	0.08056083	0.21917871	0.23846579	0.93728580	0.21976645	0.33802345	0.16359670	0.22692905	0.15043655	0.03996343	0.10867943	0.30557069	0.16301033	0.26175338	0.15400317	0.73182185	0.16982337	0.06998749	0.29401703	0.21793345	0.10696341
Colombia	0.38594375	0.38071560	0.68039657	0.28351136	0.13979113	0.45001594	0.00000000	0.37075542	0.30672740	0.28351746	0.19899726	0.23876830	0.44574380	0.31326105	0.30469394	0.89534044	0.24883611	0.31215619	0.30196969	0.25816336	0.36048813	0.43277328	0.34850452	0.31762132	0.40358177	0.30209529	0.38187033	0.61766669	0.28727565	0.40464612	0.27237945	0.35048804	0.40368073
Colorado	0.73596306	0.05874011	0.61913285	0.64010142	0.35369901	0.10982681	0.37075542	0.00000000	0.21650251	0.19128333	0.18411323	0.16435749	0.07499356	0.10948314	0.12875042	0.86915201	0.12388529	0.22982154	0.14583763	0.12378678	0.04373070	0.07457438	0.03966062	0.19771670	0.07962315	0.15225570	0.05810884	0.63781268	0.08553496	0.04125327	0.18421612	0.11322513	0.03690525
Connecticut	0.68625212	0.27070162	0.44914922	0.50071916	0.20753958	0.32509684	0.30672740	0.21650251	0.00000000	0.03654741	0.14529200	0.10657127	0.26371123	0.10836346	0.08993408	0.70225825	0.16458736	0.01433711	0.30026619	0.13927369	0.17466112	0.28677766	0.23424778	0.02150019	0.17745785	0.06581927	0.17496166	0.43966117	0.20247138	0.25510959	0.05169323	0.10991027	0.22172142
District_of_Columbia	0.66732107	0.24257689	0.48569631	0.49656393	0.19894300	0.30103012	0.28351746	0.19128333	0.03654741	0.00000000	0.11044418	0.07024550	0.24584407	0.08185728	0.06256776	0.73875394	0.12843750	0.05022128	0.26505632	0.10346826	0.15190534	0.26405854	0.20473912	0.03576091	0.16453613	0.04003007	0.15691537	0.47487328	0.16831989	0.23141465	0.01533043	0.09525781	0.20162289
Florida	0.58298062	0.21295370	0.59029414	0.45640451	0.17316678	0.28285193	0.19899726	0.18411323	0.14529200	0.11044418	0.00000000	0.04441914	0.25720359	0.11465369	0.10826334	0.84029833	0.06312310	0.15712750	0.18720186	0.06167727	0.16484218	0.25533202	0.17417262	0.14534307	0.20500803	0.11175708	0.18438376	0.56739503	0.11459950	0.22325038	0.09535982	0.15287657	0.21223435
Georgia	0.62430270	0.20394659	0.55538394	0.48391946	0.19049056	0.27055102	0.23876830	0.16435749	0.10657127	0.07024550	0.04441914	0.00000000	0.23288299	0.07581511	0.06594060	0.80775977	0.06476759	0.11964589	0.20286179	0.04556436	0.13647444	0.23856222	0.16419615	0.10341462	0.16995103	0.06735238	0.15228168	0.54004454	0.11345768	0.20537272	0.05493889	0.11176902	0.18686052
Idaho	0.80750373	0.08936952	0.61788399	0.71360566	0.42337331	0.08056083	0.44574380	0.07499356	0.26371123	0.24584407	0.25720359	0.23288299	0.00000000	0.16676299	0.18521002	0.85784072	0.19842929	0.27529397	0.19926346	0.19586885	0.09715347	0.04533493	0.10316733	0.24282507	0.08933291	0.20586137	0.08913009	0.65327714	0.15964172	0.04775768	0.24220235	0.15380130	0.04607267
Illinois	0.69760806	0.16236067	0.53873818	0.55766459	0.26117859	0.21917871	0.31326105	0.10948314	0.10836346	0.08185728	0.11465369	0.07581511	0.16676299	0.00000000	0.01928964	0.79305676	0.08673498	0.12221643	0.20314993	0.06373066	0.07067996	0.18232547	0.12612450	0.09139008	0.09482152	0.04296462	0.08004965	0.54210920	0.10398945	0.14957795	0.07592439	0.03941073	0.12140917
Indiana	0.69021920	0.18112557	0.52587489	0.54293919	0.24551595	0.23846579	0.30469394	0.12875042	0.08993408	0.06256776	0.10826334	0.06594060	0.18521002	0.01928964	0.00000000	0.78029389	0.09182876	0.10397553	0.21659480	0.06647927	0.08972722	0.20158082	0.14431871	0.07405930	0.10981567	0.02413621	0.09746897	0.52606742	0.11720101	0.16886240	0.05703760	0.04610570	0.14015921
Israel	1.00000000	0.92588038	0.25441959	0.77219558	0.76134962	0.93728580	0.89534044	0.86915201	0.70225825	0.73875394	0.84029833	0.80775977	0.85784072	0.79305676	0.78029389	0.00000000	0.86636039	0.68859062	0.99617523	0.84053536	0.82943486	0.90265339	0.90423427	0.71048414	0.79105243	0.75977085	0.81105425	0.28101378	0.89698914	0.88794908	0.75365341	0.76719757	0.84705174
Louisiana	0.62451704	0.14984268	0.61251020	0.51650623	0.23627178	0.21976645	0.24883611	0.12388529	0.16458736	0.12843750	0.06312310	0.06476759	0.19842929	0.08673498	0.09182876	0.86636039	0.00000000	0.17857957	0.13833641	0.02612579	0.11255169	0.19305805	0.11109348	0.15604973	0.15952027	0.10834045	0.13555552	0.60278828	0.05216922	0.16156858	0.11416465	0.12496284	0.15508722
