	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Arizona	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
British_Virgin_Islands	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
California	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colombia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colorado	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
District_of_Columbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Georgia	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Idaho	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Illinois	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Indiana	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massachusetts	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Mexico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nebraska	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nevada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New_Mexico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New_York	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
North_Dakota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ohio	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
South_Dakota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Utah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Virginia	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Wisconsin	1	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
Wyoming	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
