	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Arizona	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
British_Virgin_Islands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colombia	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Colorado	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Connecticut	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
District_of_Columbia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Georgia	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Idaho	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Illinois	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Indiana	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Louisiana	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Massachusetts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mexico	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mississippi	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Nebraska	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Nevada	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
New_Mexico	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
New_York	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North_Dakota	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Ohio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South_Dakota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Texas	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Utah	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Virginia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wisconsin	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
Wyoming	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1
