	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916	0.23866916
Arizona	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983	-0.17705983
Belgium	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033	-0.12465033
Brazil	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405	0.86958405
British_Virgin_Islands	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140	0.57106140
California	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656	0.43565656
Colombia	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977	0.91532977
Colorado	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383	0.27632383
Connecticut	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403	0.79813403
District_of_Columbia	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510	-4.24954510
Florida	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772	0.35590772
Georgia	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586	0.60138586
Idaho	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276	0.52038276
Illinois	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902	-0.00013902
Indiana	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196	0.26845196
Israel	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201	-1.03946201
