	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159	-0.10493159
Arizona	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681	-0.43712681
Belgium	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737	-0.37673737
Brazil	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184	0.95398184
British_Virgin_Islands	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468	0.75027468
California	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767	-0.71796767
Colombia	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919	3.34839919
Colorado	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249	0.13201249
Connecticut	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106	-0.14908106
District_of_Columbia	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417	0.30424417
Florida	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107	0.67557107
Georgia	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641	-0.59816641
Idaho	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790	-0.18049790
Illinois	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615	-0.34318615
Indiana	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090	0.71218090
Israel	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409	-1.51061409
