	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145	0.50083145
Arizona	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323	0.92524323
Belgium	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868	-1.01780868
Brazil	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519	1.14516519
British_Virgin_Islands	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160	0.98392160
California	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412	0.73080412
Colombia	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057	1.24224057
Colorado	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761	0.89484761
Connecticut	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494	-0.37347494
District_of_Columbia	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791	1.01226791
