	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Arizona	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269	1.58192269
Belgium	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
Brazil	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
British_Virgin_Islands	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450	-1.07133450
California	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531	0.84181531
Colombia	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794	0.10170794
Colorado	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636
Connecticut	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636	1.48901636
District_of_Columbia	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713	-0.33122713
