	Argentina	Arizona	Belgium	Brazil	British_Virgin_Islands	California	Colombia	Colorado	Connecticut	District_of_Columbia	Florida	Georgia	Idaho	Illinois	Indiana	Israel	Louisiana	Massachusetts	Mexico	Mississippi	Nebraska	Nevada	New_Mexico	New_York	North_Dakota	Ohio	South_Dakota	Spain	Texas	Utah	Virginia	Wisconsin	Wyoming
Argentina	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776	-0.80056776
Arizona	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223	0.03853223
Belgium	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890	-0.39208890
Brazil	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948	-2.01348948
British_Virgin_Islands	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834	-2.42196834
California	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360	0.12253360
Colombia	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757	-3.12026757
Colorado	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386	0.33924386
Connecticut	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929	0.69204929
District_of_Columbia	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032	0.30621032
