	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Belgium	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Bulgaria	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Czech_Republic	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
France	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Germany	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Greece	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Hungary	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Iran	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Italy	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Moldova	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Namibia	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Netherlands	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Poland	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Romania	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Russia	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Serbia	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Slovakia	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Slovenia	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
South_Africa	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
Spain	0.33008844	0.41102822	-0.59988580	0.08610805	1.44302779	1.69286006	-0.10579188	-0.18673797	0.04069411	1.20612123	-1.77163700	-1.95249586	0.85911408	0.70958011	0.14684784	1.26804451	-0.75346578	-0.48153208	-0.89936240	0.15254633	0.98680398	-1.02310596	-1.55885003
