	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844	0.33008844
Belgium	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822	0.41102822
Bulgaria	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580	-0.59988580
Czech_Republic	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805	0.08610805
France	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779	1.44302779
Germany	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006	1.69286006
Greece	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188	-0.10579188
Hungary	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797	-0.18673797
Iran	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411	0.04069411
Italy	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123	1.20612123
