	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Belgium	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Bulgaria	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Czech_Republic	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
France	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Germany	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Greece	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Hungary	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Iran	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Italy	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Moldova	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Namibia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Netherlands	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Poland	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Romania	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Russia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Serbia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Slovakia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Slovenia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
South_Africa	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Spain	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Uganda	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
Zambia	-1.22540607	-0.31034287	-0.01500332	-0.84182697	-0.23014295	-0.67161949	0.67707279	-0.09381846	0.90741515	0.20732874	-0.19545510	1.72661392	-0.43497040	-0.69337965	-0.13404582	-2.71583695	-0.04758252	-0.64464736	-0.38300162	1.31537846	0.60650276	1.60704142	1.58972631
