	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607	-1.22540607
Belgium	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287	-0.31034287
Bulgaria	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332	-0.01500332
Czech_Republic	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697	-0.84182697
France	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295	-0.23014295
Germany	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949	-0.67161949
Greece	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279	0.67707279
Hungary	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846	-0.09381846
Iran	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515	0.90741515
Italy	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874	0.20732874
Moldova	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510	-0.19545510
Namibia	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392	1.72661392
Netherlands	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040	-0.43497040
Poland	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965	-0.69337965
Romania	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582	-0.13404582
Russia	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695	-2.71583695
Serbia	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252	-0.04758252
Slovakia	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736	-0.64464736
Slovenia	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162	-0.38300162
South_Africa	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846	1.31537846
Spain	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276	0.60650276
Uganda	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142	1.60704142
Zambia	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631	1.58972631
