	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Belgium	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Bulgaria	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Czech_Republic	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
France	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Germany	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Greece	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Hungary	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Iran	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Italy	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Moldova	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Namibia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Netherlands	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Poland	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Romania	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Russia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Serbia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Slovakia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Slovenia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
South_Africa	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Spain	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Uganda	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
Zambia	-0.61109858	-1.26587048	-0.42870025	-0.65118680	0.71603200	0.33312811	-0.31604474	-0.54380319	1.32817893	0.22325359	-1.20212566	0.87800779	-1.13744930	0.24574415	0.06910774	2.85062925	-0.57618450	-0.96069626	-1.53590539	1.13179621	0.55917854	0.07628204	0.81772681
