	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858	-0.61109858
Belgium	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048	-1.26587048
Bulgaria	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025	-0.42870025
Czech_Republic	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680	-0.65118680
France	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200	0.71603200
Germany	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811	0.33312811
Greece	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474	-0.31604474
Hungary	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319	-0.54380319
Iran	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893	1.32817893
Italy	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359	0.22325359
