	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Belgium	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Bulgaria	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Czech_Republic	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
France	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Germany	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Greece	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Hungary	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Iran	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Italy	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Moldova	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Namibia	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
Netherlands	-0.83252600	-0.21628266	-0.94436733	-1.00044748	1.28562605	0.97941001	-0.89244522	-0.27594659	1.36428859	1.52827771	-1.43000556	-1.35349749	0.56290380	0.40930081	0.31323128	0.85889880	-1.35349749	-0.70670335	-1.07751717	1.34453702	1.42454338	0.28816550	-0.27594659
