	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600	-0.83252600
Belgium	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266	-0.21628266
Bulgaria	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733	-0.94436733
Czech_Republic	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748	-1.00044748
France	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605	1.28562605
Germany	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001	0.97941001
Greece	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522	-0.89244522
Hungary	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659	-0.27594659
Iran	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859	1.36428859
Italy	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771	1.52827771
Moldova	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556	-1.43000556
Namibia	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749	-1.35349749
Netherlands	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380	0.56290380
