	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.00000000	0.06194451	0.08391860	0.02051293	0.07193330	0.03960859	0.10647630	0.03230716	0.30148200	0.05108979	0.08669945	0.61827970	0.09172928	0.05078355	0.06912149	0.43512573	0.05103587	0.03358562	0.01376643	0.68653081	0.13732721	0.43399321	0.55152292
Belgium	0.06194451	0.00000000	0.14580253	0.06190391	0.03912777	0.03296202	0.16603149	0.09221875	0.36086483	0.09119389	0.14271939	0.65275145	0.03723187	0.08294120	0.12895307	0.44315174	0.11292941	0.08766418	0.07276935	0.72655001	0.11315872	0.48539916	0.59620510
Bulgaria	0.08391860	0.14580253	0.00000000	0.08851757	0.15064563	0.11942908	0.04415115	0.05522142	0.22116231	0.08696090	0.04333087	0.57914767	0.17437038	0.09198559	0.02714781	0.42980825	0.03377673	0.06507484	0.07486090	0.63793991	0.20045445	0.37145474	0.49809759
Czech_Republic	0.02051293	0.06190391	0.08851757	0.00000000	0.08225231	0.03145387	0.11793423	0.03331147	0.29912214	0.07147091	0.08081678	0.63715600	0.09655103	0.03126594	0.06823454	0.41524900	0.05913479	0.02591427	0.03243976	0.70429734	0.15253139	0.44870154	0.56832141
France	0.07193330	0.03912777	0.15064563	0.08225231	0.00000000	0.06329196	0.16027368	0.10402773	0.37134817	0.07600258	0.15863255	0.61990995	0.02988418	0.11033975	0.14022054	0.48139249	0.11695271	0.10461314	0.07666697	0.69602609	0.07522645	0.46392055	0.56891050
Germany	0.03960859	0.03296202	0.11942908	0.03145387	0.06329196	0.00000000	0.14577262	0.06429941	0.32994830	0.08408806	0.11127909	0.65310281	0.06984988	0.05005108	0.09968506	0.42023536	0.08853886	0.05719158	0.05308997	0.72331952	0.13812701	0.47331294	0.58952967
Greece	0.10647630	0.16603149	0.04415115	0.11793423	0.16027368	0.14577262	0.00000000	0.08668541	0.22595486	0.08566324	0.08728976	0.53538034	0.18786522	0.12959206	0.06999886	0.47193884	0.05931886	0.09948692	0.09384708	0.59547924	0.19408598	0.33234676	0.45641504
Hungary	0.03230716	0.09221875	0.05522142	0.03331147	0.10402773	0.06429941	0.08668541	0.00000000	0.26945565	0.06402864	0.05485552	0.61433118	0.12380271	0.04480095	0.03700252	0.41989140	0.02740761	0.01375678	0.02976208	0.67860665	0.16616690	0.41885343	0.54104115
Iran	0.30148200	0.36086483	0.22116231	0.29912214	0.37134817	0.32994830	0.22595486	0.26945565	0.00000000	0.30582502	0.21870976	0.57688248	0.39320395	0.28567892	0.23245478	0.40156180	0.25455433	0.27324498	0.29477521	0.59845998	0.41859313	0.33065968	0.46385190
Italy	0.05108979	0.09119389	0.08696090	0.07147091	0.07600258	0.08408806	0.08566324	0.06402864	0.30582502	0.00000000	0.11170114	0.56912970	0.10500442	0.10005920	0.08819174	0.48285640	0.05797164	0.07446930	0.03989065	0.63940346	0.11358710	0.39420529	0.50660579
Moldova	0.08669945	0.14271939	0.04333087	0.08081678	0.15863255	0.11127909	0.08728976	0.05485552	0.21870976	0.11170114	0.00000000	0.62105629	0.17673615	0.06899572	0.02407724	0.38725514	0.05457683	0.05526454	0.08412118	0.67783657	0.22010633	0.40800537	0.53718007
Namibia	0.61827970	0.65275145	0.57914767	0.63715600	0.61990995	0.65310281	0.53538034	0.61433118	0.57688248	0.56912970	0.62105629	0.00000000	0.64577625	0.65907285	0.60537212	0.97301621	0.58876523	0.62808757	0.60500502	0.09005889	0.57374444	0.24622432	0.11891887
Netherlands	0.09172928	0.03723187	0.17437038	0.09655103	0.02988418	0.06984988	0.18786522	0.12380271	0.39320395	0.10500442	0.17673615	0.64577625	0.00000000	0.11989482	0.16077767	0.47454711	0.14064944	0.12150352	0.09951053	0.72320336	0.08507559	0.49366842	0.59749496
Poland	0.05078355	0.08294120	0.09198559	0.03126594	0.11033975	0.05005108	0.12959206	0.04480095	0.28567892	0.10005920	0.06899572	0.65907285	0.11989482	0.00000000	0.06622732	0.38434229	0.07137868	0.03106399	0.06017272	0.72327505	0.18270866	0.46180610	0.58535420
Romania	0.06912149	0.12895307	0.02714781	0.06823454	0.14022054	0.09968506	0.06999886	0.03700252	0.23245478	0.08819174	0.02407724	0.60537212	0.16077767	0.06622732	0.00000000	0.40948020	0.03059377	0.04272619	0.06393301	0.66489441	0.19827932	0.39854783	0.52518492
Russia	0.43512573	0.44315174	0.42980825	0.41524900	0.48139249	0.42023536	0.47193884	0.41989140	0.40156180	0.48285640	0.38725514	0.97301621	0.47454711	0.38434229	0.40948020	0.00000000	0.43646333	0.40846616	0.44359899	1.00000000	0.55629437	0.72886629	0.86421116
Serbia	0.05103587	0.11292941	0.03377673	0.05913479	0.11695271	0.08853886	0.05931886	0.02740761	0.25455433	0.05797164	0.05457683	0.58876523	0.14064944	0.07137868	0.03059377	0.43646333	0.00000000	0.04058165	0.04115413	0.65196219	0.16974213	0.39144836	0.51400128
Slovakia	0.03358562	0.08766418	0.06507484	0.02591427	0.10461314	0.05719158	0.09948692	0.01375678	0.27324498	0.07446930	0.05526454	0.62808757	0.12150352	0.03106399	0.04272619	0.40846616	0.04058165	0.00000000	0.03652338	0.69226120	0.17078386	0.43182320	0.55453885
Slovenia	0.01376643	0.07276935	0.07486090	0.03243976	0.07666697	0.05308997	0.09384708	0.02976208	0.29477521	0.03989065	0.08412118	0.60500502	0.09951053	0.06017272	0.06393301	0.44359899	0.04115413	0.03652338	0.00000000	0.67291205	0.13641006	0.42031454	0.53777721
South_Africa	0.68653081	0.72655001	0.63793991	0.70429734	0.69602609	0.72331952	0.59547924	0.67860665	0.59845998	0.63940346	0.67783657	0.09005889	0.72320336	0.72327505	0.66489441	1.00000000	0.65196219	0.69226120	0.67291205	0.00000000	0.65535739	0.27737168	0.14186263
Spain	0.13732721	0.11315872	0.20045445	0.15253139	0.07522645	0.13812701	0.19408598	0.16616690	0.41859313	0.11358710	0.22010633	0.57374444	0.08507559	0.18270866	0.19827932	0.55629437	0.16974213	0.17078386	0.13641006	0.65535739	0.00000000	0.44935862	0.53823781
Uganda	0.43399321	0.48539916	0.37145474	0.44870154	0.46392055	0.47331294	0.33234676	0.41885343	0.33065968	0.39420529	0.40800537	0.24622432	0.49366842	0.46180610	0.39854783	0.72886629	0.39144836	0.43182320	0.42031454	0.27737168	0.44935862	0.00000000	0.13641052
Zambia	0.55152292	0.59620510	0.49809759	0.56832141	0.56891050	0.58952967	0.45641504	0.54104115	0.46385190	0.50660579	0.53718007	0.11891887	0.59749496	0.58535420	0.52518492	0.86421116	0.51400128	0.55453885	0.53777721	0.14186263	0.53823781	0.13641052	0.00000000
