	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Belgium	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Bulgaria	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Czech_Republic	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
France	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Germany	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Greece	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Hungary	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Iran	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Italy	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Moldova	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Namibia	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Netherlands	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Poland	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
Romania	0.67635926	-0.14867843	0.66713461	0.12177679	0.13789884	-0.07991374	0.46032525	0.05564299	-1.97560568	0.49297998	-0.69733626	-3.38260703	-1.15853252	-0.21200046	0.56431285	0.94798397	0.60401025	0.80816991	1.02274123	0.14053573	0.17095880	-0.20864791	0.99249155
