	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926	0.67635926
Belgium	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843	-0.14867843
Bulgaria	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461	0.66713461
Czech_Republic	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679	0.12177679
France	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884	0.13789884
Germany	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374	-0.07991374
Greece	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525	0.46032525
Hungary	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299	0.05564299
Iran	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568	-1.97560568
Italy	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998	0.49297998
Moldova	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626	-0.69733626
Namibia	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703	-3.38260703
Netherlands	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252	-1.15853252
Poland	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046	-0.21200046
Romania	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285	0.56431285
Russia	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397	0.94798397
Serbia	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025	0.60401025
Slovakia	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991	0.80816991
Slovenia	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123	1.02274123
South_Africa	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573	0.14053573
Spain	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880	0.17095880
Uganda	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791	-0.20864791
Zambia	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155	0.99249155
