	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Belgium	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Bulgaria	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Czech_Republic	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
France	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Germany	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Greece	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Hungary	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Iran	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Italy	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Moldova	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Namibia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Netherlands	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Poland	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Romania	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Russia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Serbia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Slovakia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Slovenia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
South_Africa	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Spain	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Uganda	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
Zambia	-0.60641265	-0.36333095	-0.84156027	-0.44733598	1.09984526	1.27400393	-0.47731410	-0.52693998	1.35704541	1.00347363	-1.37337184	-1.58449788	-0.01943878	0.62284089	-0.01433185	1.70684892	-0.85782457	-1.00821593	-1.82617592	0.99627679	0.78998180	0.99627679	0.10015728
