	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265	-0.60641265
Belgium	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095	-0.36333095
Bulgaria	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027	-0.84156027
Czech_Republic	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598	-0.44733598
France	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526	1.09984526
Germany	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393	1.27400393
Greece	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410	-0.47731410
Hungary	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998	-0.52693998
Iran	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541	1.35704541
Italy	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363	1.00347363
Moldova	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184	-1.37337184
Namibia	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788	-1.58449788
Netherlands	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878	-0.01943878
Poland	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089	0.62284089
Romania	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185	-0.01433185
Russia	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892	1.70684892
Serbia	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457	-0.85782457
Slovakia	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593	-1.00821593
Slovenia	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592	-1.82617592
South_Africa	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679
Spain	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180	0.78998180
Uganda	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679	0.99627679
Zambia	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728	0.10015728
