	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Belgium	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Bulgaria	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Czech_Republic	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
France	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Germany	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Greece	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Hungary	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Iran	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Italy	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Moldova	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Namibia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Netherlands	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Poland	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Romania	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Russia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Serbia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Slovakia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Slovenia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
South_Africa	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Spain	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Uganda	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
Zambia	-0.14495082	-1.10155685	-1.03674217	-1.10522142	-0.75716100	-1.47310516	-0.89149100	0.27381884	-1.11046845	0.82616759	-0.29176409	-0.29314746	0.17858788	0.30056221	0.40402278	0.18211849	0.49628609	0.62050642	1.79267240	-0.34148310	-0.45012209	2.85388566	1.06858528
