	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082	-0.14495082
Belgium	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685	-1.10155685
Bulgaria	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217	-1.03674217
Czech_Republic	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142	-1.10522142
France	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100	-0.75716100
Germany	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516	-1.47310516
Greece	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100	-0.89149100
Hungary	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884	0.27381884
Iran	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845	-1.11046845
Italy	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759	0.82616759
Moldova	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409	-0.29176409
Namibia	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746	-0.29314746
Netherlands	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788	0.17858788
Poland	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221	0.30056221
Romania	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278	0.40402278
Russia	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849	0.18211849
Serbia	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609	0.49628609
