	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Belgium	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Bulgaria	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Czech_Republic	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
France	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Germany	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Greece	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Hungary	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Iran	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Italy	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Moldova	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Namibia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Netherlands	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Poland	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Romania	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Russia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Serbia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Slovakia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Slovenia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
South_Africa	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Spain	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Uganda	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
Zambia	-0.40608879	-1.37812437	-0.62964520	-1.11707606	-2.14276375	-2.80728611	-0.21537540	0.49561187	0.05103737	0.35092077	0.56233824	0.90364243	0.00194176	0.46091971	0.74415163	0.23075425	0.77212860	0.52940284	0.92842182	0.79951654	-0.15754903	1.02307295	1.00004794
