	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879	-0.40608879
Belgium	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437	-1.37812437
Bulgaria	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520	-0.62964520
Czech_Republic	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606	-1.11707606
France	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375	-2.14276375
Germany	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611	-2.80728611
Greece	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540	-0.21537540
Hungary	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187	0.49561187
Iran	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737	0.05103737
Italy	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077	0.35092077
Moldova	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824	0.56233824
Namibia	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243	0.90364243
Netherlands	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176	0.00194176
Poland	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971	0.46091971
Romania	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163	0.74415163
Russia	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425	0.23075425
Serbia	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860	0.77212860
Slovakia	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284	0.52940284
Slovenia	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182	0.92842182
South_Africa	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654	0.79951654
Spain	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903	-0.15754903
Uganda	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295	1.02307295
Zambia	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794	1.00004794
