	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Belgium	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Bulgaria	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Czech_Republic	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
France	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Germany	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Greece	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Hungary	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Iran	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Italy	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Moldova	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Namibia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Netherlands	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Poland	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Romania	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Russia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Serbia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Slovakia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Slovenia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
South_Africa	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Spain	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Uganda	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
Zambia	1.13789843	-1.05855661	-0.32640493	-0.32640493	0.10187635	1.56617971	2.15728597	0.99685301	-0.32640493	1.72900469	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-0.32640493	1.26230930	0.64144695	0.10187635	-0.32640493	-0.32640493	-0.32640493	-1.05855661	-1.05855661
