	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843	1.13789843
Belgium	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Bulgaria	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
Czech_Republic	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
France	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635
Germany	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971	1.56617971
Greece	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597	2.15728597
Hungary	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301	0.99685301
Iran	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
Italy	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469	1.72900469
Moldova	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Namibia	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Netherlands	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Poland	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Romania	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
Russia	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930	1.26230930
Serbia	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695	0.64144695
Slovakia	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635	0.10187635
Slovenia	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
South_Africa	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
Spain	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493	-0.32640493
Uganda	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
Zambia	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661	-1.05855661
