	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Belgium	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Bulgaria	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Czech_Republic	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
France	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Germany	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Greece	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Hungary	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Iran	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Italy	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Moldova	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
Namibia	0.22524336	-0.44218123	0.80102058	0.39250014	-0.35053386	-0.10649939	-0.03366079	0.76101677	0.91468453	0.03562326	1.26750994	-1.52445162	-0.64539034	0.49397482	1.05333520	1.35025419	0.83992825	0.71985327	0.44414370	-1.33483152	-0.54015396	-2.31912918	-2.00225611
