	Austria	Belgium	Bulgaria	Czech_Republic	France	Germany	Greece	Hungary	Iran	Italy	Moldova	Namibia	Netherlands	Poland	Romania	Russia	Serbia	Slovakia	Slovenia	South_Africa	Spain	Uganda	Zambia
Austria	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336	0.22524336
Belgium	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123	-0.44218123
Bulgaria	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058	0.80102058
Czech_Republic	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014	0.39250014
France	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386	-0.35053386
Germany	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939	-0.10649939
Greece	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079	-0.03366079
Hungary	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677	0.76101677
Iran	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453	0.91468453
Italy	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326	0.03562326
