	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
hubei	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
yunnan	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
guangdong	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
jiangsu	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
zhejiang	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
hunan	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
sichuan	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
shaanxi	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
heilongjiang	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
jiangxi	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
henan	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
shanxi	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
tibet	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
anhui	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
guizhou	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
shanghai	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
ningxia	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
california	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
missouri	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
cambodia	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
sweden	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
australia	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
greece	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
belgium	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
burkina_faso	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
united_kingdom	-1.09907564	0.45628750	-0.03840844	1.11641635	1.09088882	0.76894808	0.36409666	0.51406339	0.05350152	-0.53742349	0.02403869	0.50079556	-0.20184819	-1.90963268	0.32550844	-0.29222159	0.37407922	-1.38053456	1.67820463	-0.01820478	-1.84305797	0.17565519	1.00836698	-0.49812009	0.25051044	-2.40716952	1.52433546
