	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564	-1.09907564
hubei	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750	0.45628750
yunnan	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844	-0.03840844
guangdong	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635	1.11641635
jiangsu	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882	1.09088882
zhejiang	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808	0.76894808
hunan	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666	0.36409666
sichuan	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339	0.51406339
shaanxi	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152	0.05350152
heilongjiang	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349	-0.53742349
