	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
hubei	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
yunnan	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
guangdong	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
jiangsu	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
zhejiang	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
hunan	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
sichuan	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
shaanxi	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
heilongjiang	-0.49456814	-0.46435187	0.19838599	1.25014815	0.08900689	0.65965263	0.35654779	0.34918596	-1.48810274	-0.58018811	0.77542789	-1.31169431	-1.63358440	-2.06254060	0.60013173	1.12599826	0.39774260	-1.69641172	-1.12352007	0.59580917	1.86757249	0.51404432	-0.33745010	0.14173550	1.04714230	0.14447118	1.07940919
