	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814	-0.49456814
hubei	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187	-0.46435187
yunnan	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599	0.19838599
guangdong	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815	1.25014815
jiangsu	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689	0.08900689
zhejiang	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263	0.65965263
hunan	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779	0.35654779
sichuan	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596	0.34918596
shaanxi	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274	-1.48810274
heilongjiang	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811	-0.58018811
